FIR No.,FIR Date,Unit Name,PS Name,Crime Head,Occurrence From,Occurrence To,MO - Tools,MO - Entry Point,MO - Entry,MO - Premises,MO - Search,Accused Count,MO - Concealment,MO - Target,Property Lost,Came By,Fled By,Vehicle Category,MO - Vehicle Start,Place Of Theft,Offender Vehicle,Victim Was,Fled Towards,ATM Location Type,MO - ATM,Alarm,Brief Facts
KA-DHA-01/0001/2021,02-Jan-2021 0216 hrs,Dharwad,KA-DHA-01,Burglary - Commercial,31-Dec-2020 2325 hrs,01-Jan-2021 1115 hrs,None Observed,Door,Forced - door,Warehouse,Selective Search,Gang (4+),,Random,Cash / Electronics / Documents,Walking,Walking,,,,,,,,,,"The complainant lodged a complaint at KA-DHA-01 regarding break-in at commercial premises between 31-Dec-2020 2325 hrs and 01-Jan-2021 1115 hrs. It is stated that the accused appear to have picked the target by chance, took cash, took electronic items, took documents, targeted a godown, took only selected valuables, forced the door open, were a group of four or more, left no sign of tools, fled on foot and got in through the door. It had been raining heavily that evening. Neighbours stated they did not hear anything unusual."
KA-BEN-05/0001/2021,02-Jan-2021 0710 hrs,Bengaluru Urban,KA-BEN-05,Theft - Chain Snatching,01-Jan-2021 1931 hrs,01-Jan-2021 1936 hrs,None Observed,,,,,Two-Three,None,Pre-Surveyed,Gold Jewellery / Electronics,,Walking,,,,Motorcycle,Waiting For Bus,,,,,"It is alleged that between 01-Jan-2021 1931 hrs and 01-Jan-2021 1936 hrs unknown accused committed chain snatching within Bengaluru Urban. It is stated that the accused took gold ornaments, took electronic items, were two or three persons, appear to have watched the place beforehand, left no sign of tools, made no attempt to avoid identification and struck during the day. The complainant does not suspect anyone. Nearby shops were closed at the time."
KA-BEL-02/0001/2021,02-Jan-2021 1253 hrs,Belagavi,KA-BEL-02,Burglary - Commercial,01-Jan-2021,02-Jan-2021,Cutting Plier,Wall Breached,Forced - door,Warehouse,Selective Search,Two-Three,None,Random,Gold Jewellery,Car/Jeep,Car/Jeep,,,,,,,,,,"It is alleged that between 01-Jan-2021 and 02-Jan-2021 unknown accused committed break-in at commercial premises within Belagavi. It is stated that the accused took gold ornaments, used a cutter, forced the door open, came in a four-wheeler, appear to have picked the target by chance, made no attempt to avoid identification, targeted a godown, made a hole in the wall and fled in a four-wheeler. The total value of the stolen property is estimated at Rs. 55,088. Nearby shops were closed at the time."
KA-MYS-01/0001/2021,02-Jan-2021 1402 hrs,Mysuru,KA-MYS-01,Burglary - Dwelling,01-Jan-2021 0619 hrs,01-Jan-2021 1430 hrs,None Observed,Window,Forced - door,Apartment,Ransacked,Two-Three,None,Pre-Surveyed,,Car/Jeep,Walking,,,,,,,,,,"The complainant lodged a complaint at KA-MYS-01 regarding house burglary between 01-Jan-2021 0619 hrs and 01-Jan-2021 1430 hrs. It is stated that the accused got in through a window, were two or three persons, appear to have watched the place beforehand, struck during the day, made no attempt to avoid identification, left no sign of tools, fled on foot, ransacked the place and targeted an apartment. A relative of the complainant was the first to notice. It had been raining heavily that evening."
KA-DHA-01/0002/2021,02-Jan-2021 1819 hrs,Dharwad,KA-DHA-01,Theft - Vehicle,02-Jan-2021 0028 hrs,02-Jan-2021 0257 hrs,None Observed,,,,,Single,None,Random,Documents / Vehicle,Bike,Bike,,Handle Lock Broken,Market,,,,,,,"The complainant lodged a complaint at KA-DHA-01 regarding vehicle theft between 02-Jan-2021 0028 hrs and 02-Jan-2021 0257 hrs. It is stated that the accused broke the handle lock, made no attempt to avoid identification, struck at night, acted alone, fled on a two-wheeler, took documents, took a vehicle, took it from a market area and appear to have picked the target by chance. A spot panchnama was drawn up in the presence of witnesses. Street lights in the area were reported not working."
KA-KAL-01/0001/2021,02-Jan-2021 1832 hrs,Kalaburagi,KA-KAL-01,Theft - Chain Snatching,02-Jan-2021 1621 hrs,02-Jan-2021 1628 hrs,None Observed,,,,,Two-Three,None,Pre-Surveyed,Gold Jewellery,Bike,Bike,,,,Motorcycle,Morning Walk,Main Road,,,,"The complainant lodged a complaint at KA-KAL-01 regarding chain snatching between 02-Jan-2021 1621 hrs and 02-Jan-2021 1628 hrs. It is stated that the accused targeted a victim on a morning walk, rode a motorcycle, were two or three persons, fled on a two-wheeler, escaped along the main road, left no sign of tools and made no attempt to avoid identification. Enquiries with nearby residents are in progress. The complainant does not suspect anyone."
KA-MYS-05/0001/2021,03-Jan-2021 0230 hrs,Mysuru,KA-MYS-05,Burglary - Dwelling,02-Jan-2021 0945 hrs,02-Jan-2021 1628 hrs,Screwdriver,Door,Forced - grill cut,Apartment,Targeted,Gang (4+),None,Insider Tip,Gold Jewellery,Car/Jeep,Car/Jeep,,,,,,,,,,"It is alleged that between 02-Jan-2021 0945 hrs and 02-Jan-2021 1628 hrs unknown accused committed house burglary within Mysuru. It is stated that the accused cut the grill, were a group of four or more, came in a four-wheeler, used a screwdriver, targeted an apartment, made no attempt to avoid identification, fled in a four-wheeler, went straight to where the valuables were kept, got in through the door and struck during the day. The total value of the stolen property is estimated at Rs. 400,737. Nearby shops were closed at the time."
KA-KAL-05/0001/2021,03-Jan-2021 1633 hrs,Kalaburagi,KA-KAL-05,Burglary - Dwelling,02-Jan-2021 2000 hrs,03-Jan-2021 0101 hrs,Cutting Plier / Screwdriver,Window,Forced - lock,Independent House,Targeted,,None,Random,Gold Jewellery / Cash,Walking,Walking,,,,,,,,,,"The complainant lodged a complaint at KA-KAL-05 regarding house burglary between 02-Jan-2021 2000 hrs and 03-Jan-2021 0101 hrs. It is stated that the accused came on foot, got in through a window, struck at night, targeted an independent house, made no attempt to avoid identification, went straight to where the valuables were kept, appear to have picked the target by chance, used a cutter, used a screwdriver, broke the lock, fled on foot, took gold ornaments, took cash and struck while the occupants were out. Enquiries with nearby residents are in progress. Neighbours stated they did not hear anything unusual."
KA-DHA-02/0001/2021,03-Jan-2021 1903 hrs,Dharwad,KA-DHA-02,Theft - Vehicle,03-Jan-2021 0432 hrs,03-Jan-2021 1235 hrs,Screwdriver,,,,,Single,None,Random,Vehicle,Walking,Bike,Motorcycle,Wire Bypass,Residence Parking,,,,,,,"It is alleged that between 03-Jan-2021 0432 hrs and 03-Jan-2021 1235 hrs unknown accused committed vehicle theft within Dharwad. It is stated that the accused acted alone, stole a motorcycle, took it from residential parking, used a screwdriver, made no attempt to avoid identification, struck during the day, started it by joining the wires, took a vehicle, appear to have picked the target by chance, fled on a two-wheeler and came on foot. Street lights in the area were reported not working. It had been raining heavily that evening."
KA-BEL-05/0001/2021,04-Jan-2021 0629 hrs,Belagavi,KA-BEL-05,Burglary - Dwelling,04-Jan-2021 0036 hrs,04-Jan-2021 0339 hrs,,Window,Forced - lock,Independent House,Selective Search,Two-Three,None,Pre-Surveyed,Cash / Electronics,Bike,Bike,,,,,,,,,,"It is alleged that between 04-Jan-2021 0036 hrs and 04-Jan-2021 0339 hrs unknown accused committed house burglary within Belagavi. It is stated that the accused came on a two-wheeler, took cash, took electronic items, fled on a two-wheeler, struck at night, broke the lock, were two or three persons, targeted an independent house, appear to have watched the place beforehand, got in through a window, took only selected valuables and made no attempt to avoid identification. It had been raining heavily that evening. The total value of the stolen property is estimated at Rs. 98,586."
