FIR_NO,DISTRICT,POLICE_STATION,CRIME_HEAD,OCCURRENCE_FROM,OCCURRENCE_TO,REGISTRATION_DATE,NO_OF_ACCUSED,WEAPONS_TOOLS,CONCEALMENT,TARGET_TYPE,PROPERTY_STOLEN,MODE_OF_ARRIVAL,MODE_OF_ESCAPE,PLACE_OF_ENTRY,MODE_OF_ENTRY,PREMISES_TYPE,PREMISES_STATUS,SEARCH_TYPE,VEHICLE_TYPE,VEHICLE_START_METHOD,PARKING_PLACE,OFFENDER_VEHICLE,VICTIM_ACTIVITY,ESCAPE_ROUTE,ATM_SITE_TYPE,ATM_ATTACK,ALARM_STATUS,FIR_CONTENTS
MH-KOL-04/0001/2021,Kolhapur,MH-KOL-04,SHOP BREAKING,01/01/2021 02:54,01/01/2021 09:30,01/01/2021 21:52,2 TO 3,NIL,,INSIDE INFORMATION,DOCUMENTS,TWO WHEELER,TWO WHEELER,SHUTTER,,GODOWN,CLOSED FOR NIGHT,RANSACKED,,,,,,,,,,"Complainant reports that a break-in at commercial premises took place within MH-KOL-04 police station limits, Kolhapur, between 01/01/2021 02:54 and 01/01/2021 09:30. It is stated that the accused left no sign of tools, targeted a godown, appear to have had inside information, came on a two-wheeler, were two or three persons, got in by lifting the shutter, ransacked the place, struck early in the morning, fled on a two-wheeler and struck while the premises were closed for the night. A spot panchnama was drawn up in the presence of witnesses. It had been raining heavily that evening."
MH-NAS-05/0001/2021,Nashik,MH-NAS-05,SHOP BREAKING,01/01/2021 04:20,01/01/2021 15:35,02/01/2021 01:42,ONE,CROWBAR,CCTV DAMAGED,INSIDE INFORMATION,CASH,FOUR WHEELER,FOUR WHEELER,MAIN DOOR,LOCK BROKEN,SHOP,CLOSED FOR NIGHT,RANSACKED,,,,,,,,,,"As per the complaint, unknown persons committed break-in at commercial premises in Nashik (MH-NAS-05) sometime between 01/01/2021 04:20 and 01/01/2021 15:35. It is stated that the accused disabled the CCTV camera, appear to have had inside information, used a crowbar, struck during the day, came in a four-wheeler, targeted a shop, took cash, broke the lock, got in through the door, fled in a four-wheeler, ransacked the place and struck while the premises were closed for the night. Nearby shops were closed at the time."
MH-NAG-07/0001/2021,Nagpur,MH-NAG-07,CHAIN SNATCHING,01/01/2021 16:43,01/01/2021 16:49,02/01/2021 06:27,2 TO 3,NIL,FACE MASKED,,GOLD ORNAMENTS;CASH,ON FOOT,ON FOOT,,,,,,,,,NIL,,BY LANES,,,,"Complainant reports that a chain snatching took place within MH-NAG-07 police station limits, Nagpur, between 01/01/2021 16:43 and 01/01/2021 16:49. It is stated that the accused used no vehicle, came on foot, had their faces covered, were two or three persons, escaped through the lanes and struck during the day. The complainant noticed the incident on returning and informed the police. The total value of the stolen property is estimated at Rs. 426,104."
MH-KOL-04/0002/2021,Kolhapur,MH-KOL-04,SHOP BREAKING,31/12/2020 20:57,01/01/2021 10:45,02/01/2021 09:53,2 TO 3,,NIL,CHANCE,ELECTRONIC ITEMS,FOUR WHEELER,FOUR WHEELER,SHUTTER,DOOR FORCED,OFFICE,CLOSED FOR NIGHT,RANSACKED,,,,,,,,,,"As per the complaint, unknown persons committed break-in at commercial premises in Kolhapur (MH-KOL-04) sometime between 31/12/2020 20:57 and 01/01/2021 10:45. It is stated that the accused came in a four-wheeler, made no attempt to avoid identification, struck while the premises were closed for the night, took electronic items, appear to have picked the target by chance, got in by lifting the shutter, ransacked the place, forced the door open, were two or three persons and fled in a four-wheeler. The beat constable had passed the area about an hour earlier. The total value of the stolen property is estimated at Rs. 412,785."
MH-PUN-01/0001/2021,Pune,MH-PUN-01,MOTOR VEHICLE THEFT,02/01/2021 10:46,02/01/2021 14:44,02/01/2021 23:35,2 TO 3,NIL,NIL,RECCE DONE,VEHICLE,ON FOOT,TWO WHEELER,,,,,,SCOOTER,DIRECT CONNECTION,MARKET AREA,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Pune (MH-PUN-01) sometime between 02/01/2021 10:46 and 02/01/2021 14:44. It is stated that the accused took a vehicle, took it from a market area, were two or three persons, came on foot, made no attempt to avoid identification, struck during the day, left no sign of tools, fled on a two-wheeler, stole a scooter and started it by joining the wires. A relative of the complainant was the first to notice. The total value of the stolen property is estimated at Rs. 287,155."
MH-NAS-06/0001/2021,Nashik,MH-NAS-06,MOTOR VEHICLE THEFT,02/01/2021,03/01/2021,03/01/2021 01:48,ONE,NIL,,,VEHICLE,ON FOOT,TWO WHEELER,,,,,,MOTOR CYCLE,HANDLE LOCK BROKEN,ROADSIDE,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Nashik between 02/01/2021 and 03/01/2021. It is stated that the accused stole a motorcycle, came on foot, broke the handle lock, took a vehicle and acted alone. It had been raining heavily that evening. Fingerprint experts visited the scene."
MH-THA-08/0001/2021,Thane,MH-THA-08,MOTOR VEHICLE THEFT,02/01/2021 02:49,02/01/2021 07:20,03/01/2021 03:07,2 TO 3,SCREW DRIVER,NIL,CHANCE,,ON FOOT,TWO WHEELER,,,,,,MOTOR CYCLE,,MARKET AREA,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Thane between 02/01/2021 02:49 and 02/01/2021 07:20. It is stated that the accused took it from a market area, made no attempt to avoid identification, stole a motorcycle, used a screwdriver, fled on a two-wheeler, struck early in the morning and came on foot. The beat constable had passed the area about an hour earlier. Fingerprint experts visited the scene."
MH-KOL-01/0001/2021,Kolhapur,MH-KOL-01,MOTOR VEHICLE THEFT,02/01/2021 19:58,02/01/2021 23:43,03/01/2021 12:26,ONE,NIL,NIL,CHANCE,VEHICLE,ON FOOT,TWO WHEELER,,,,,,SCOOTER,HANDLE LOCK BROKEN,MARKET AREA,,,,,,,"Complainant reports that a vehicle theft took place within MH-KOL-01 police station limits, Kolhapur, between 02/01/2021 19:58 and 02/01/2021 23:43. It is stated that the accused appear to have picked the target by chance, took a vehicle, stole a scooter, came on foot, broke the handle lock, struck during the day, fled on a two-wheeler, made no attempt to avoid identification and took it from a market area. The complainant has submitted bills for some of the items. Nearby shops were closed at the time."
MH-NAS-03/0001/2021,Nashik,MH-NAS-03,SHOP BREAKING,02/01/2021 19:43,03/01/2021 00:10,03/01/2021 13:49,2 TO 3,CROWBAR,FACE MASKED,CHANCE,,,ON FOOT,MAIN DOOR,DOOR FORCED,BUNGALOW,OCCUPIED,SELECTIVE,,,,,,,,,,"On receipt of information, it was learnt that a break-in at commercial premises occurred in Nashik between 02/01/2021 19:43 and 03/01/2021 00:10. It is stated that the accused targeted an independent house, fled on foot, got in through the door, struck while the occupants were inside, appear to have picked the target by chance, took only selected valuables, came on foot, had their faces covered, forced the door open, used a crowbar and were two or three persons. Fingerprint experts visited the scene. A relative of the complainant was the first to notice."
MH-THA-01/0001/2021,Thane,MH-THA-01,MOTOR VEHICLE THEFT,03/01/2021 03:01,03/01/2021 10:03,03/01/2021 14:44,2 TO 3,NIL,NIL,RECCE DONE,VEHICLE,TWO WHEELER,TWO WHEELER,,,,,,MOTOR CYCLE,DIRECT CONNECTION,PAY AND PARK,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Thane between 03/01/2021 03:01 and 03/01/2021 10:03. It is stated that the accused struck early in the morning, came on a two-wheeler, made no attempt to avoid identification, were two or three persons, started it by joining the wires, left no sign of tools, took a vehicle, appear to have watched the place beforehand, took it from a public parking lot and fled on a two-wheeler. A relative of the complainant was the first to notice. The complainant has submitted bills for some of the items."
