THANA,ZILA,APRADH_KRAMANK,DARJ_DINANK,APRADH_SHIRSH,GHATNA_DINANK_SE,GHATNA_DINANK_TAK,GHATNA_VIVARAN,PRAVESH_STHAN,PRAVESH_VIDHI,PARISAR,MAKAN_STHITI,TALASHI_PRAKAR,AAROPI_SANKHYA,UPKARAN,PEHCHAN_CHHIPANA,LAKSHYA_CHAYAN,CHORI_SAMPATTI,AAGAMAN_SADHAN,PALAYAN_SADHAN,VAHAN_SHRENI,VAHAN_CHALU_VIDHI,VAHAN_STHAN,AAROPI_VAHAN,PEEDIT_GATIVIDHI,PALAYAN_DISHA,ATM_STHAN,ATM_CHHEDCHHAD,ALARM_STHITI
MP-JAB-03,Jabalpur,MP-JAB-03/0001/2021,01-01-2021 07:52 PM,VAHAN_CHORI,01-01-2021,01-01-2021,"The informant reported a vehicle theft in the jurisdiction of MP-JAB-03 between 01-01-2021 and 01-01-2021. It is stated that the accused used a screwdriver, stole a motorcycle, started it by joining the wires, took it from the roadside, came on foot and appear to have watched the place beforehand. The complainant has submitted bills for some of the items. The complainant noticed the incident on returning and informed the police.",,,,,,,PECHKAS,DASTANE,REKI_KI,VAHAN,PAIDAL,,MOTORCYCLE,TAAR_JODKAR,SADAK_KINARE,,,,,,
MP-JAB-04,Jabalpur,MP-JAB-04/0001/2021,02-01-2021 06:30 AM,GRIH_BHEDAN,01-01-2021 09:19 AM,01-01-2021 11:07 PM,"Complainant appeared at MP-JAB-04 and stated that a house burglary happened between 01-01-2021 09:19 AM and 01-01-2021 11:07 PM in Jabalpur. It is stated that the accused targeted an independent house, appear to have had inside information, got in through the roof, struck while the occupants were out, used a cutter, used a gas cutter, took gold ornaments, took cash, took electronic items, took only selected valuables and acted alone. A relative of the complainant was the first to notice. The complainant noticed the incident on returning and informed the police.",CHHAT,BINA_TOD_FOD,SWATANTRA_MAKAN,THODI_DER_BAHAR,CHUNINDA_SAMAN,EK,KATAR|GAS_KATAR,KOI_NAHI,BHEDI_SOOCHNA,SONE_KE_GAHNE|NAKAD|ELECTRONIC_SAMAN,,,,,,,,,,,
MP-GWA-06,Gwalior,MP-GWA-06/0001/2021,02-01-2021 10:01 AM,VAHAN_CHORI,01-01-2021 06:04 PM,01-01-2021 10:17 PM,"The informant reported a vehicle theft in the jurisdiction of MP-GWA-06 between 01-01-2021 06:04 PM and 01-01-2021 10:17 PM. It is stated that the accused left no sign of tools, took a vehicle, found the key left in the vehicle, acted alone, took it from residential parking, struck during the day, appear to have picked the target by chance and came on foot. The total value of the stolen property is estimated at Rs. 463,848. The complainant noticed the incident on returning and informed the police.",,,,,,EK,KOI_NAHI,,AKASMIK,VAHAN,PAIDAL,DO_PAHIYA,,CHABI_LAGI_THI,GHAR_KE_BAHAR,,,,,,
MP-GWA-03,Gwalior,MP-GWA-03/0001/2021,02-01-2021 11:41 AM,VAHAN_CHORI,01-01-2021 07:22 PM,01-01-2021 11:32 PM,"The informant reported a vehicle theft in the jurisdiction of MP-GWA-03 between 01-01-2021 07:22 PM and 01-01-2021 11:32 PM. It is stated that the accused appear to have watched the place beforehand, took it from the roadside, struck during the day, were two or three persons, made no attempt to avoid identification, used a screwdriver, fled on a two-wheeler and took a vehicle. A spot panchnama was drawn up in the presence of witnesses.",,,,,,,PECHKAS,KOI_NAHI,REKI_KI,VAHAN,,DO_PAHIYA,MOTORCYCLE,TAAR_JODKAR,SADAK_KINARE,,,,,,
MP-JAB-04,Jabalpur,MP-JAB-04/0002/2021,02-01-2021 03:09 PM,VAHAN_CHORI,01-01-2021 08:01 PM,02-01-2021 03:34 AM,"Complainant appeared at MP-JAB-04 and stated that a vehicle theft happened between 01-01-2021 08:01 PM and 02-01-2021 03:34 AM in Jabalpur. It is stated that the accused struck at night, made no attempt to avoid identification, stole a motorcycle, lifted or towed it away, were two or three persons, took it from residential parking and used a cutter. Fingerprint experts visited the scene. The beat constable had passed the area about an hour earlier.",,,,,,DO_TEEN,KATAR,KOI_NAHI,,,,,,UTHA_LE_GAYE,GHAR_KE_BAHAR,,,,,,
MP-GWA-04,Gwalior,MP-GWA-04/0001/2021,03-01-2021 10:56 AM,VAHAN_CHORI,02-01-2021 03:43 AM,02-01-2021 07:46 AM,"Report received at MP-GWA-04, Gwalior: vehicle theft between 02-01-2021 03:43 AM and 02-01-2021 07:46 AM. It is stated that the accused started it by joining the wires, appear to have picked the target by chance, struck early in the morning, came on foot, fled on a two-wheeler, acted alone, took it from a market area, took documents and took a vehicle. Nearby shops were closed at the time. Street lights in the area were reported not working.",,,,,,EK,PECHKAS,,AKASMIK,DASTAVEZ|VAHAN,PAIDAL,DO_PAHIYA,MOTORCYCLE,TAAR_JODKAR,BAZAAR,,,,,,
MP-IND-06,Indore,MP-IND-06/0001/2021,03-01-2021 04:51 PM,VAHAN_CHORI,01-01-2021,03-01-2021,"Report received at MP-IND-06, Indore: vehicle theft between 01-01-2021 and 03-01-2021. It is stated that the accused stole a motorcycle, fled on a two-wheeler, took it from a public parking lot, had their faces covered and used a screwdriver. The complainant has submitted bills for some of the items. The complainant does not suspect anyone.",,,,,,DO_TEEN,PECHKAS,MUNH_DHAKA,,,,DO_PAHIYA,MOTORCYCLE,,SARVAJANIK_PARKING,,,,,,
MP-GWA-06,Gwalior,MP-GWA-06/0002/2021,03-01-2021 06:29 PM,DUKAN_BHEDAN,01-01-2021 04:34 PM,02-01-2021 02:39 AM,"Report received at MP-GWA-06, Gwalior: break-in at commercial premises between 01-01-2021 04:34 PM and 02-01-2021 02:39 AM. It is stated that the accused took gold ornaments, took cash, took electronic items, broke the lock, targeted a godown, got in by lifting the shutter and disabled the CCTV camera. Neighbours stated they did not hear anything unusual. The total value of the stolen property is estimated at Rs. 349,243.",SHUTTER,TALA_TODA,GODAM,RAAT_ME_BAND,SEEDHE_TIJORI,,,CCTV_TODA,,SONE_KE_GAHNE|NAKAD|ELECTRONIC_SAMAN,CHAR_PAHIYA,,,,,,,,,,
MP-BHO-06,Bhopal,MP-BHO-06/0001/2021,03-01-2021 10:32 PM,ATM_CHHEDCHHAD,02-01-2021 04:37 AM,02-01-2021 07:46 PM,"Report received at MP-BHO-06, Bhopal: ATM tampering between 02-01-2021 04:37 AM and 02-01-2021 07:46 PM. It is stated that the accused came on a two-wheeler, had their faces covered, used a crowbar, fitted a cash trap, fled on foot, acted alone, targeted an ATM at a bank branch, took cash and disabled the alarm. Enquiries with nearby residents are in progress. The beat constable had passed the area about an hour earlier.",,,,,,EK,SABBAL,MUNH_DHAKA,AKASMIK,,DO_PAHIYA,PAIDAL,,,,,,,SHAKHA_ATM,NOTE_ATKAYE,ALARM_BAND_KIYA
MP-JAB-05,Jabalpur,MP-JAB-05/0001/2021,03-01-2021 10:57 PM,DUKAN_BHEDAN,02-01-2021 10:38 AM,03-01-2021 01:41 AM,"Complainant appeared at MP-JAB-05 and stated that a break-in at commercial premises happened between 02-01-2021 10:38 AM and 03-01-2021 01:41 AM in Jabalpur. It is stated that the accused took cash, took electronic items, opened it with a duplicate key, fled in a four-wheeler and disabled the CCTV camera. The beat constable had passed the area about an hour earlier. A spot panchnama was drawn up in the presence of witnesses.",SHUTTER,NAKLI_CHABI,,RAAT_ME_BAND,CHUNINDA_SAMAN,,,CCTV_TODA,,NAKAD|ELECTRONIC_SAMAN,CHAR_PAHIYA,CHAR_PAHIYA,,,,,,,,,
