fir_number,district_name,ps_name,crime_category,offence_from_dt,offence_to_dt,fir_reg_dt,mo_description,brief_facts
TG-HAN-05/0001/2021,Hanumakonda,TG-HAN-05,MV Theft,2020-12-31T20:59:00,2021-01-01T00:53:00,2021-01-01T12:45:00,Accused left no sign of tools; struck at night; were two or three persons; stole a scooter; made no attempt to avoid identification; took it from a market area; came on foot.,"The complainant reported vehicle theft that occurred between 2020-12-31T20:59:00 and 2021-01-01T00:53:00 in Hanumakonda. It is stated that the accused left no sign of tools, struck at night, were two or three persons, stole a scooter, made no attempt to avoid identification, took it from a market area and came on foot. The complainant does not suspect anyone. It had been raining heavily that evening."
TG-HYD-02/0001/2021,Hyderabad,TG-HYD-02,MV Theft,2021-01-01T20:07:00,2021-01-02T02:11:00,2021-01-02T02:34:00,Accused used a screwdriver; stole a motorcycle; took it from a market area; took a vehicle; acted alone; struck at night; appear to have watched the place beforehand; came on foot; fled on a two-wheeler.,"Case registered at TG-HYD-02 on a complaint of vehicle theft committed between 2021-01-01T20:07:00 and 2021-01-02T02:11:00. It is stated that the accused used a screwdriver, stole a motorcycle, took it from a market area, took a vehicle, acted alone, struck at night, appear to have watched the place beforehand, came on foot and fled on a two-wheeler. Fingerprint experts visited the scene. The complainant does not suspect anyone."
TG-RAN-05/0001/2021,Rangareddy,TG-RAN-05,HB - Residential,2021-01-01T16:57:00,2021-01-02T00:49:00,2021-01-03T10:40:00,Accused acted alone; used a cutter; used a screwdriver; struck while the occupants were out; targeted an apartment; made no attempt to avoid identification; came on a two-wheeler; forced the door open; struck during the day; fled on a two-wheeler; took gold ornaments; took cash; took electronic items.,"The complainant reported house burglary that occurred between 2021-01-01T16:57:00 and 2021-01-02T00:49:00 in Rangareddy. It is stated that the accused acted alone, used a cutter, used a screwdriver, targeted an apartment, made no attempt to avoid identification, came on a two-wheeler, forced the door open, struck during the day, fled on a two-wheeler, took gold ornaments, took cash and took electronic items. The complainant has submitted bills for some of the items. A relative of the complainant was the first to notice."
TG-HAN-01/0001/2021,Hanumakonda,TG-HAN-01,MV Theft,2021-01-03,2021-01-03,2021-01-03T16:34:00,Accused started it with a duplicate key; came on foot; were two or three persons; left no sign of tools; stole a motorcycle; fled on a two-wheeler.,"Case registered at TG-HAN-01 on a complaint of vehicle theft committed between 2021-01-03 and 2021-01-03. It is stated that the accused started it with a duplicate key, came on foot, were two or three persons, stole a motorcycle and fled on a two-wheeler. Nearby shops were closed at the time. A spot panchnama was drawn up in the presence of witnesses."
TG-RAN-06/0001/2021,Rangareddy,TG-RAN-06,ATM Offence,2021-01-02T14:23:00,2021-01-03T08:03:00,2021-01-03T18:59:00,Accused left the alarm untouched; fled on a two-wheeler; were two or three persons; left no sign of tools; had their faces covered; took cash; came on a two-wheeler; fitted a skimming device.,"Case registered at TG-RAN-06 on a complaint of ATM tampering committed between 2021-01-02T14:23:00 and 2021-01-03T08:03:00. It is stated that the accused left the alarm untouched, fled on a two-wheeler, were two or three persons, left no sign of tools, had their faces covered, took cash, came on a two-wheeler and fitted a skimming device. The dog squad was summoned to the spot. A relative of the complainant was the first to notice."
TG-NIZ-04/0001/2021,Nizamabad,TG-NIZ-04,HB - Commercial,2020-12-31T14:18:00,2021-01-01T03:35:00,2021-01-03T19:11:00,Accused came in a four-wheeler; struck while the premises were closed for the night; went straight to where the valuables were kept; targeted an office; wore gloves; fled on a two-wheeler; took cash; cut the grill; left no sign of tools; got in by lifting the shutter.,"Complaint received at TG-NIZ-04 (Nizamabad) regarding break-in at commercial premises between 2020-12-31T14:18:00 and 2021-01-01T03:35:00. It is stated that the accused came in a four-wheeler, struck while the premises were closed for the night, went straight to where the valuables were kept, targeted an office, wore gloves, fled on a two-wheeler, took cash, left no sign of tools and got in by lifting the shutter. Fingerprint experts visited the scene. Street lights in the area were reported not working."
TG-NIZ-03/0001/2021,Nizamabad,TG-NIZ-03,HB - Residential,2021-01-03T14:10:00,2021-01-03T16:38:00,2021-01-03T19:15:00,Accused appear to have watched the place beforehand; targeted an independent house; broke the lock; took cash; took electronic items; struck during the day; were two or three persons; went straight to where the valuables were kept; struck while the occupants were inside; made no attempt to avoid identification; left no sign of tools; got in through the door.,"The complainant reported house burglary that occurred between 2021-01-03T14:10:00 and 2021-01-03T16:38:00 in Nizamabad. It is stated that the accused targeted an independent house, broke the lock, took cash, took electronic items, struck during the day, went straight to where the valuables were kept, left no sign of tools and got in through the door. The dog squad was summoned to the spot. Enquiries with nearby residents are in progress."
TG-NIZ-04/0002/2021,Nizamabad,TG-NIZ-04,HB - Residential,2021-01-02,2021-01-02,2021-01-03T21:53:00,Accused took cash; took electronic items; took documents; used a crowbar; came on a two-wheeler; struck while the occupants were out; climbed in via the balcony; appear to have picked the target by chance; had their faces covered; targeted an independent house.,"Complaint received at TG-NIZ-04 (Nizamabad) regarding house burglary between 2021-01-02 and 2021-01-02. It is stated that the accused took cash, took electronic items, took documents, were a group of four or more, used a crowbar, came on a two-wheeler, climbed in via the balcony, appear to have picked the target by chance, had their faces covered and targeted an independent house. The complainant noticed the incident on returning and informed the police. Neighbours stated they did not hear anything unusual."
TG-NIZ-03/0002/2021,Nizamabad,TG-NIZ-03,Chain Snatching,2021-01-03,2021-01-03,2021-01-04T01:12:00,Accused rode a motorcycle; took electronic items; were two or three persons; made no attempt to avoid identification; left no sign of tools; came on a two-wheeler; targeted a victim riding pillion; escaped towards the highway; appear to have picked the target by chance.,"The complainant reported chain snatching that occurred between 2021-01-03 and 2021-01-03 in Nizamabad. It is stated that the accused rode a motorcycle, took electronic items, were two or three persons, made no attempt to avoid identification, left no sign of tools, came on a two-wheeler, targeted a victim riding pillion, escaped towards the highway and appear to have picked the target by chance. The dog squad was summoned to the spot. Fingerprint experts visited the scene."
TG-KAR-05/0001/2021,Karimnagar,TG-KAR-05,MV Theft,2021-01-02T21:29:00,2021-01-03T00:49:00,2021-01-04T09:21:00,Accused made no attempt to avoid identification; left no sign of tools; acted alone; started it with a duplicate key; fled on a two-wheeler; stole a scooter; struck at night; appear to have picked the target by chance.,"Case registered at TG-KAR-05 on a complaint of vehicle theft committed between 2021-01-02T21:29:00 and 2021-01-03T00:49:00. It is stated that the accused took documents, took a vehicle, made no attempt to avoid identification, left no sign of tools, acted alone, started it with a duplicate key, fled on a two-wheeler, stole a scooter, struck at night, appear to have picked the target by chance and took it from the roadside. The complainant does not suspect anyone. The beat constable had passed the area about an hour earlier."
