repeat_rate,cross_type_sharing,alpha,measured_core_lift_same_type,measured_core_lift_cross_type,same_type_hit_at_10,same_type_recall_at_10,same_type_pr_auc,cross_type_hit_at_10,cross_type_pr_auc,same_type_mean_true_pair_bits,cross_type_mean_true_pair_bits,same_type_mean_prior_bits,cross_type_prior_bits,validator_2_truth_mi,validator_3_recorded_mi
0.2,0.0,8.0,0.091,0.043,0.02,0.01,0.0074,0.0,0.0004,0.068,-0.011,-14.9,-16.238,True,False
0.35,0.0,2.6,0.171,0.044,0.0413,0.0153,0.0089,0.0017,0.0006,0.326,-0.0,-14.46,-16.54,True,True
0.5,0.0,1.25,0.24,0.05,0.1343,0.0506,0.031,0.0017,0.0011,1.154,-0.006,-14.07,-16.87,True,True
0.65,0.0,0.636,0.326,0.048,0.247,0.1153,0.0743,0.0033,0.0009,1.922,0.006,-13.84,-17.38,True,True
0.8,0.0,0.286,0.401,0.045,0.4113,0.2364,0.1649,0.043,0.0228,3.284,0.115,-13.68,-18.034,True,True
0.9,0.0,0.125,0.445,0.032,0.5023,0.3063,0.2296,0.1246,0.0562,5.42,0.899,-13.5,-18.912,True,False
0.2,0.25,8.0,0.095,0.036,0.0164,0.0051,0.0045,0.0017,0.0012,0.136,0.011,-14.9,-16.238,True,False
0.35,0.25,2.6,0.169,0.038,0.0553,0.0253,0.0127,0.0033,0.0006,0.423,-0.004,-14.46,-16.54,True,False
0.5,0.25,1.25,0.241,0.048,0.1191,0.052,0.0334,0.0067,0.0033,1.146,0.012,-14.07,-16.87,True,True
0.65,0.25,0.636,0.312,0.041,0.2527,0.1208,0.0794,0.0083,0.0042,2.232,-0.022,-13.84,-17.38,True,True
0.8,0.25,0.286,0.393,0.046,0.3857,0.2267,0.1648,0.043,0.0158,3.751,0.089,-13.68,-18.034,True,True
0.9,0.25,0.125,0.439,0.074,0.4847,0.3121,0.2458,0.1592,0.0651,4.901,0.977,-13.5,-18.912,True,True
0.2,0.5,8.0,0.091,0.045,0.0182,0.0056,0.0041,0.0017,0.0013,0.132,0.015,-14.9,-16.238,True,False
0.35,0.5,2.6,0.169,0.056,0.0603,0.0239,0.012,0.005,0.0009,0.473,-0.004,-14.46,-16.54,True,True
0.5,0.5,1.25,0.239,0.067,0.1351,0.057,0.0299,0.005,0.0016,1.138,0.036,-14.07,-16.87,True,True
0.65,0.5,0.636,0.317,0.081,0.2691,0.1334,0.0892,0.0083,0.0025,2.324,0.065,-13.84,-17.38,True,True
0.8,0.5,0.286,0.393,0.073,0.3817,0.2216,0.1603,0.0332,0.0117,3.652,-0.001,-13.68,-18.034,True,True
0.9,0.5,0.125,0.436,0.102,0.4809,0.2992,0.2173,0.1349,0.0571,4.712,0.994,-13.5,-18.912,True,True
0.2,0.75,8.0,0.096,0.061,0.0237,0.0102,0.0062,0.0017,0.0012,0.102,0.005,-14.9,-16.238,True,False
0.35,0.75,2.6,0.163,0.093,0.0644,0.0249,0.0119,0.0067,0.001,0.492,0.025,-14.46,-16.54,True,False
0.5,0.75,1.25,0.238,0.126,0.1305,0.0574,0.0325,0.01,0.0033,1.111,0.085,-14.07,-16.87,True,True
0.65,0.75,0.636,0.319,0.152,0.2655,0.1298,0.0906,0.0117,0.0057,2.391,0.094,-13.84,-17.38,True,True
0.8,0.75,0.286,0.392,0.145,0.3703,0.2111,0.1514,0.0293,0.0092,3.591,0.128,-13.68,-18.034,True,True
0.9,0.75,0.125,0.44,0.185,0.486,0.3041,0.2314,0.1419,0.0617,4.917,1.326,-13.5,-18.912,True,False
0.2,1.0,8.0,0.094,0.085,0.0228,0.0114,0.0051,0.0033,0.001,0.115,0.02,-14.9,-16.238,True,True
0.35,1.0,2.6,0.162,0.153,0.0553,0.0222,0.0126,0.0083,0.0022,0.48,0.065,-14.46,-16.54,True,False
0.5,1.0,1.25,0.239,0.214,0.1275,0.0604,0.0401,0.0133,0.0025,1.042,0.212,-14.07,-16.87,True,True
0.65,1.0,0.636,0.316,0.263,0.2677,0.1326,0.0872,0.0333,0.0098,2.2,0.354,-13.84,-17.38,True,True
0.8,1.0,0.286,0.393,0.281,0.3898,0.2143,0.1557,0.082,0.0306,3.594,0.811,-13.68,-18.034,True,False
0.9,1.0,0.125,0.439,0.32,0.5016,0.3194,0.246,0.1384,0.0646,5.32,1.903,-13.5,-18.912,True,False
